   Measure:   >MELAINC <
   D-RType:   >    CMYR<
2050    8570222.00    1516725.63    7053496.50
2055    8633639.00    1516725.75    7116913.00
2060    8679508.00    1516725.75    7162782.00
2065    8711861.00    1516725.75    7195135.00
2070    8735151.00    1516725.75    7218425.00
2075    8753098.00    1516725.75    7236372.00
2080    8766680.00    1516725.75    7249954.00
2085    8775784.00    1516725.75    7259058.00
2090    8780516.00    1516725.75    7263790.00
2095    8782799.00    1516725.75    7266073.00
2100    8783707.00    1516725.75    7266981.00
   Measure:   >NMSCMORT<
   D-RType:   >    CMYR<
1890      29815.94      29815.94          0.00
1895      17872.93      17872.92          0.01
1900      14298.96      14298.01          0.95
1905      13100.45      13095.20          5.25
1910      12178.36      12161.32         17.04
1915      12466.78      12423.13         43.65
1920      13017.12      12920.20         96.92
1925      13976.72      13784.77        191.95
1930      14282.67      13940.44        342.23
1935      14672.65      14082.66        589.99
1940      17044.25      15994.23       1050.01
1945      21347.28      19492.84       1854.44
1950      26274.37      23235.65       3038.71
1955      30999.15      26350.20       4648.96
1960      36151.99      29380.74       6771.25
1965      40211.18      31180.76       9030.43
1970      42367.48      31374.62      10992.87
1975      44361.64      31396.93      12964.71
1980      46503.53      31478.11      15025.42
1985      48763.66      31590.62      17173.04
1990      51071.48      31702.29      19369.18
1995      53378.66      31793.21      21585.46
2000      55633.26      31849.10      23784.16
2005      57813.52      31880.99      25932.53
2010      59887.57      31899.04      27988.54
2015      61790.29      31909.32      29880.97
2020      63416.72      31915.18      31501.54
2025      64709.98      31918.55      32791.43
2030      65756.12      31920.59      33835.52
2035      66584.27      31921.92      34662.35
2040      67232.16      31922.84      35309.32
2045      67718.02      31923.51      35794.52
2050      68093.88      31923.86      36170.02
2055      68377.06      31923.88      36453.19
2060      68576.69      31923.88      36652.81
2065      68713.10      31923.88      36789.23
2070      68809.38      31923.88      36885.50
2075      68883.56      31923.88      36959.69
2080      68938.74      31923.88      37014.87
2085      68974.25      31923.88      37050.38
2090      68990.39      31923.88      37066.52
2095      68997.08      31923.88      37073.20
2100      68999.73      31923.88      37075.85
   Measure:   >CATARACT<
   D-RType:   >    CMYR<
1890    2858406.75    2858406.75          0.00
1895    2858406.75    2858406.75          0.00
1900    2858980.50    2858978.25          2.25
1905    2891317.50    2891145.00        172.50
1910    3001027.25    2999916.25       1111.00
1915    3165536.00    3161697.50       3838.50
1920    3387005.50    3376861.25      10144.25
1925    3553332.25    3531166.75      22165.50
1930    3512275.00    3470266.00      42009.00
1935    3585337.00    3504425.00      80912.00
1940    4147905.75    3974725.50     173180.25
1945    5220376.00    4852648.50     367727.50
1950    6369965.50    5687300.00     682665.50
1955    7296349.00    6187225.00    1109124.00
1960    8156557.00    6501451.00    1655106.00
1965    8982986.00    6672154.50    2310831.50
1970    9821560.00    6783983.00    3037577.00
1975   10606877.00    6823039.00    3783838.00
1980   11390479.00    6829665.50    4560813.50
1985   12216022.00    6838037.50    5377984.50
1990   13076925.00    6851259.00    6225666.00
1995   13946790.00    6859076.50    7087713.50
2000   14811187.00    6859515.50    7951671.50
2005   15672893.00    6859515.50    8813378.00
2010   16520209.00    6859515.50    9660694.00
2015   17325698.00    6859515.50   10466182.00
2020   18031744.00    6859515.50   11172228.00
2025   18590074.00    6859515.50   11730558.00
2030   19041646.00    6859515.50   12182130.00
2035   19398738.00    6859515.50   12539222.00
2040   19679600.00    6859515.50   12820084.00
2045   19887730.00    6859515.50   13028214.00
2050   20050854.00    6859515.50   13191338.00
2055   20177950.00    6859515.50   13318434.00
2060   20270414.00    6859515.50   13410898.00
2065   20333164.00    6859515.50   13473648.00
2070   20377202.00    6859515.50   13517686.00
2075   20412388.00    6859515.50   13552872.00
2080   20439178.00    6859515.50   13579662.00
2085   20456022.00    6859515.50   13596506.00
2090   20462338.00    6859515.50   13602822.00
2095   20464230.00    6859515.50   13604714.00
2100   20464946.00    6859515.50   13605430.00
