*  DOBSON(year,month,latitude)
*
*  Lats:
*   --
     3
*   --
*
*                 -----        -----        -----
                      50           40           30
* Yr:   Mo:       -----        -----        -----
 1998   Feb       355.51       291.47       254.61
 1998   Mar       352.16       305.44       268.14
 1998   Apr       354.98       315.74       285.82
 1998   May       355.77       325.79       295.69
 1998   Jun       342.15       311.27       290.34
 1998   Jul       319.18       293.36       284.63
 1998   Aug       302.97       286.39       280.90
 1998   Sep       294.04       281.51       277.69
 1998   Oct       295.80       279.36       270.87
 1998   Nov       310.35       279.69       260.01
 1998   Dec       325.71       288.44       256.46
 1999   Jan       336.39       283.59       249.22
 1999   Feb       352.99       289.53       254.05
 1999   Mar       349.46       303.71       267.82
 1999   Apr       352.82       314.64       285.66
 1999   May       354.43       325.16       295.50
 1999   Jun       341.33       310.70       289.98
 1999   Jul       318.39       292.59       284.14
 1999   Aug       302.05       285.54       280.45
 1999   Sep       293.25       280.93       277.38
 1999   Oct       295.41       279.15       270.64
 1999   Nov       310.17       279.47       259.68
 1999   Dec       325.11       287.64       255.92
 2000   Jan       334.61       281.83       248.48
 2000   Feb       350.11       287.31       253.42
 2000   Mar       346.39       301.74       267.44
 2000   Apr       350.35       313.37       285.48
 2000   May       352.90       324.44       295.29
 2000   Jun       340.40       310.05       289.58
 2000   Jul       317.49       291.70       283.58
 2000   Aug       301.01       284.57       279.94
 2000   Sep       292.36       280.28       277.03
 2000   Oct       294.96       278.90       270.38
 2000   Nov       309.97       279.21       259.31
 2000   Dec       324.43       286.73       255.30
 2001   Jan       333.02       280.26       247.82
 2001   Feb       347.54       285.33       252.86
 2001   Mar       343.64       299.97       267.11
 2001   Apr       348.14       312.25       285.32
 2001   May       351.54       323.80       295.10
 2001   Jun       339.57       309.47       289.21
 2001   Jul       316.68       290.91       283.08
 2001   Aug       300.07       283.71       279.48
 2001   Sep       291.56       279.69       276.72
 2001   Oct       294.57       278.68       270.15
 2001   Nov       309.79       278.99       258.98
 2001   Dec       323.82       285.91       254.74
 2002   Jan       331.54       278.80       247.21
 2002   Feb       345.15       283.49       252.33
 2002   Mar       341.08       298.33       266.80
 2002   Apr       346.09       311.20       285.17
 2002   May       350.27       323.21       294.92
 2002   Jun       338.79       308.94       288.87
 2002   Jul       315.93       290.17       282.62
 2002   Aug       299.20       282.91       279.05
 2002   Sep       290.82       279.15       276.43
 2002   Oct       294.20       278.48       269.93
 2002   Nov       309.62       278.78       258.66
 2002   Dec       323.26       285.15       254.23
 2003   Jan       330.28       277.55       246.68
 2003   Feb       343.12       281.92       251.89
 2003   Mar       338.90       296.93       266.54
 2003   Apr       344.34       310.31       285.04
 2003   May       349.19       322.70       294.77
 2003   Jun       338.13       308.48       288.58
 2003   Jul       315.29       289.54       282.22
 2003   Aug       298.46       282.22       278.68
 2003   Sep       290.19       278.69       276.18
 2003   Oct       293.88       278.31       269.75
 2003   Nov       309.47       278.60       258.40
 2003   Dec       322.77       284.51       253.79
 2004   Jan       329.13       276.42       246.21
 2004   Feb       341.27       280.50       251.48
 2004   Mar       336.93       295.67       266.30
 2004   Apr       342.75       309.50       284.93
 2004   May       348.20       322.24       294.64
 2004   Jun       337.54       308.06       288.32
 2004   Jul       314.71       288.97       281.86
 2004   Aug       297.78       281.60       278.35
 2004   Sep       289.62       278.27       275.96
 2004   Oct       293.60       278.15       269.58
 2004   Nov       309.34       278.43       258.16
 2004   Dec       322.34       283.92       253.39
 2005   Jan       327.80       275.10       245.65
 2005   Feb       339.11       278.84       251.01
 2005   Mar       334.62       294.19       266.02
 2005   Apr       340.90       308.55       284.79
 2005   May       347.06       321.70       294.48
 2005   Jun       336.84       307.58       288.02
 2005   Jul       314.04       288.31       281.45
 2005   Aug       297.00       280.87       277.96
 2005   Sep       288.95       277.78       275.70
 2005   Oct       293.26       277.97       269.39
 2005   Nov       309.19       278.24       257.88
 2005   Dec       321.83       283.24       252.93
 2006   Jan       326.60       273.91       245.16
 2006   Feb       337.18       277.35       250.58
 2006   Mar       332.55       292.86       265.77
 2006   Apr       339.23       307.71       284.67
 2006   May       346.03       321.22       294.33
 2006   Jun       336.21       307.14       287.74
 2006   Jul       313.43       287.71       281.07
 2006   Aug       296.29       280.22       277.62
 2006   Sep       288.35       277.33       275.46
 2006   Oct       292.97       277.80       269.22
 2006   Nov       309.05       278.07       257.63
 2006   Dec       321.37       282.63       252.51
 2007   Jan       325.40       272.73       244.66
 2007   Feb       335.24       275.85       250.16
 2007   Mar       330.48       291.53       265.52
 2007   Apr       337.57       306.86       284.55
 2007   May       345.00       320.73       294.19
 2007   Jun       335.58       306.70       287.47
 2007   Jul       312.82       287.11       280.70
 2007   Aug       295.58       279.57       277.27
 2007   Sep       287.74       276.89       275.23
 2007   Oct       292.67       277.64       269.04
 2007   Nov       308.91       277.90       257.38
 2007   Dec       320.91       282.01       252.09
 2008   Jan       324.21       271.55       244.16
 2008   Feb       333.31       274.37       249.74
 2008   Mar       328.42       290.20       265.27
 2008   Apr       335.91       306.01       284.43
 2008   May       343.98       320.25       294.05
 2008   Jun       334.96       306.27       287.19
 2008   Jul       312.22       286.52       280.32
 2008   Aug       294.88       278.92       276.92
 2008   Sep       287.15       276.46       274.99
 2008   Oct       292.37       277.47       268.87
 2008   Nov       308.77       277.73       257.13
 2008   Dec       320.45       281.40       251.68
 2009   Jan       323.03       270.38       243.67
 2009   Feb       331.40       272.90       249.32
 2009   Mar       326.38       288.89       265.03
 2009   Apr       334.27       305.17       284.31
 2009   May       342.96       319.78       293.91
 2009   Jun       334.34       305.84       286.92
 2009   Jul       311.62       285.93       279.95
 2009   Aug       294.19       278.27       276.58
 2009   Sep       286.55       276.02       274.76
 2009   Oct       292.07       277.31       268.70
 2009   Nov       308.64       277.56       256.88
 2009   Dec       320.00       280.80       251.27
 2010   Jan       321.84       269.20       243.18
 2010   Feb       329.48       271.41       248.90
 2010   Mar       324.32       287.57       264.78
 2010   Apr       332.62       304.33       284.19
 2010   May       341.94       319.30       293.77
 2010   Jun       333.72       305.41       286.65
 2010   Jul       311.02       285.34       279.58
 2010   Aug       293.48       277.63       276.24
 2010   Sep       285.96       275.58       274.53
 2010   Oct       291.78       277.15       268.52
 2010   Nov       308.50       277.39       256.63
 2010   Dec       319.54       280.19       250.85
 2011   Jan       320.64       268.02       242.68
 2011   Feb       327.54       269.92       248.47
 2011   Mar       322.26       286.24       264.53
 2011   Apr       330.96       303.48       284.07
 2011   May       340.92       318.82       293.62
 2011   Jun       333.10       304.97       286.37
 2011   Jul       310.41       284.74       279.20
 2011   Aug       292.78       276.98       275.89
 2011   Sep       285.36       275.14       274.29
 2011   Oct       291.48       276.98       268.35
 2011   Nov       308.36       277.22       256.38
 2011   Dec       319.08       279.57       250.43
 2012   Jan       319.43       266.83       242.18
 2012   Feb       325.59       268.42       248.04
 2012   Mar       320.17       284.91       264.28
 2012   Apr       329.28       302.63       283.95
 2012   May       339.88       318.33       293.48
 2012   Jun       332.46       304.54       286.10
 2012   Jul       309.80       284.14       278.83
 2012   Aug       292.07       276.32       275.54
 2012   Sep       284.75       274.70       274.06
 2012   Oct       291.18       276.82       268.17
 2012   Nov       308.22       277.05       256.12
 2012   Dec       318.62       278.96       250.02
 2013   Jan       318.22       265.63       241.67
 2013   Feb       323.63       266.91       247.61
 2013   Mar       318.07       283.56       264.02
 2013   Apr       327.60       301.77       283.82
 2013   May       338.84       317.84       293.34
 2013   Jun       331.83       304.09       285.82
 2013   Jul       309.19       283.53       278.45
 2013   Aug       291.35       275.66       275.19
 2013   Sep       284.14       274.25       273.82
 2013   Oct       290.87       276.65       268.00
 2013   Nov       308.08       276.88       255.87
 2013   Dec       318.16       278.34       249.59
 2014   Jan       316.99       264.42       241.16
 2014   Feb       321.65       265.38       247.18
 2014   Mar       315.95       282.20       263.77
 2014   Apr       325.90       300.90       283.70
 2014   May       337.79       317.35       293.19
 2014   Jun       331.19       303.65       285.54
 2014   Jul       308.57       282.92       278.06
 2014   Aug       290.63       274.99       274.83
 2014   Sep       283.53       273.80       273.58
 2014   Oct       290.57       276.48       267.82
 2014   Nov       307.94       276.70       255.61
 2014   Dec       317.69       277.71       249.17
 2015   Jan       315.75       263.19       240.65
 2015   Feb       319.64       263.84       246.74
 2015   Mar       313.81       280.82       263.51
 2015   Apr       324.17       300.02       283.57
 2015   May       336.72       316.85       293.04
 2015   Jun       330.54       303.20       285.25
 2015   Jul       307.94       282.30       277.67
 2015   Aug       289.90       274.32       274.47
 2015   Sep       282.90       273.34       273.33
 2015   Oct       290.26       276.31       267.64
 2015   Nov       307.80       276.53       255.35
 2015   Dec       317.21       277.07       248.73
 2016   Jan       314.49       261.95       240.13
 2016   Feb       317.61       262.27       246.29
 2016   Mar       311.64       279.43       263.24
 2016   Apr       322.43       299.13       283.45
 2016   May       335.65       316.34       292.89
 2016   Jun       329.88       302.74       284.97
 2016   Jul       307.30       281.68       277.28
 2016   Aug       289.16       273.63       274.11
 2016   Sep       282.27       272.88       273.09
 2016   Oct       289.95       276.14       267.46
 2016   Nov       307.65       276.35       255.09
 2016   Dec       316.73       276.43       248.30
 2017   Jan       313.22       260.69       239.60
 2017   Feb       315.56       260.69       245.84
 2017   Mar       309.44       278.02       262.98
 2017   Apr       320.67       298.23       283.32
 2017   May       334.55       315.83       292.74
 2017   Jun       329.22       302.28       284.67
 2017   Jul       306.66       281.04       276.88
 2017   Aug       288.41       272.94       273.74
 2017   Sep       281.64       272.41       272.84
 2017   Oct       289.63       275.97       267.27
 2017   Nov       307.51       276.16       254.82
 2017   Dec       316.25       275.78       247.85
 2018   Jan       311.98       259.46       239.08
 2018   Feb       313.55       259.15       245.40
 2018   Mar       307.30       276.64       262.72
 2018   Apr       318.94       297.35       283.19
 2018   May       333.49       315.33       292.59
 2018   Jun       328.57       301.83       284.39
 2018   Jul       306.03       280.43       276.49
 2018   Aug       287.68       272.27       273.38
 2018   Sep       281.01       271.96       272.59
 2018   Oct       289.32       275.80       267.09
 2018   Nov       307.37       275.99       254.56
 2018   Dec       315.77       275.14       247.42
 2019   Jan       310.73       258.23       238.57
 2019   Feb       311.54       257.59       244.96
 2019   Mar       305.14       275.25       262.46
 2019   Apr       317.21       296.47       283.07
 2019   May       332.42       314.82       292.44
 2019   Jun       327.92       301.37       284.10
 2019   Jul       305.40       279.80       276.10
 2019   Aug       286.95       271.59       273.02
 2019   Sep       280.39       271.50       272.35
 2019   Oct       289.01       275.63       266.91
 2019   Nov       307.22       275.81       254.30
 2019   Dec       315.29       274.50       246.99
 2020   Jan       309.47       256.98       238.04
 2020   Feb       309.50       256.02       244.51
 2020   Mar       302.97       273.86       262.20
 2020   Apr       315.46       295.58       282.94
 2020   May       331.34       314.32       292.29
 2020   Jun       327.26       300.91       283.81
 2020   Jul       304.76       279.18       275.71
 2020   Aug       286.20       270.90       272.65
 2020   Sep       279.75       271.04       272.10
 2020   Oct       288.69       275.45       266.73
 2020   Nov       307.08       275.63       254.03
 2020   Dec       314.81       273.86       246.55
 2021   Jan       308.19       255.72       237.51
 2021   Feb       307.44       254.43       244.06
 2021   Mar       300.76       272.44       261.93
 2021   Apr       313.69       294.67       282.81
 2021   May       330.24       313.80       292.14
 2021   Jun       326.59       300.45       283.52
 2021   Jul       304.12       278.54       275.31
 2021   Aug       285.45       270.21       272.28
 2021   Sep       279.11       270.57       271.85
 2021   Oct       288.37       275.28       266.54
 2021   Nov       306.93       275.45       253.76
 2021   Dec       314.32       273.21       246.10
 2022   Jan       306.90       254.44       236.97
 2022   Feb       305.34       252.82       243.60
 2022   Mar       298.52       271.00       261.66
 2022   Apr       311.89       293.76       282.68
 2022   May       329.13       313.28       291.99
 2022   Jun       325.91       299.98       283.22
 2022   Jul       303.46       277.89       274.90
 2022   Aug       284.69       269.50       271.91
 2022   Sep       278.46       270.09       271.60
 2022   Oct       288.05       275.10       266.35
 2022   Nov       306.78       275.26       253.49
 2022   Dec       313.83       272.54       245.65
 2023   Jan       305.58       253.14       236.43
 2023   Feb       303.22       251.18       243.13
 2023   Mar       296.25       269.54       261.38
 2023   Apr       310.07       292.82       282.55
 2023   May       328.00       312.75       291.83
 2023   Jun       325.22       299.50       282.92
 2023   Jul       302.79       277.24       274.49
 2023   Aug       283.91       268.79       271.53
 2023   Sep       277.80       269.61       271.34
 2023   Oct       287.72       274.92       266.16
 2023   Nov       306.63       275.08       253.22
 2023   Dec       313.32       271.87       245.20
 2024   Jan       304.24       251.82       235.87
 2024   Feb       301.06       249.52       242.66
 2024   Mar       293.94       268.06       261.11
 2024   Apr       308.21       291.88       282.41
 2024   May       326.85       312.21       291.67
 2024   Jun       324.52       299.01       282.62
 2024   Jul       302.12       276.57       274.07
 2024   Aug       283.13       268.06       271.14
 2024   Sep       277.13       269.11       271.07
 2024   Oct       287.39       274.74       265.97
 2024   Nov       306.47       274.89       252.93
 2024   Dec       312.81       271.18       244.73
 2025   Jan       302.88       250.47       235.30
 2025   Feb       298.85       247.82       242.18
 2025   Mar       291.59       266.55       260.82
 2025   Apr       306.32       290.91       282.27
 2025   May       325.69       311.66       291.51
 2025   Jun       323.81       298.52       282.30
 2025   Jul       301.43       275.89       273.64
 2025   Aug       282.32       267.32       270.74
 2025   Sep       276.45       268.61       270.81
 2025   Oct       287.05       274.55       265.77
 2025   Nov       306.32       274.69       252.65
 2025   Dec       312.29       270.49       244.26
 2026   Jan       301.49       249.10       234.73
 2026   Feb       296.61       246.09       241.68
 2026   Mar       289.19       265.01       260.53
 2026   Apr       304.39       289.93       282.13
 2026   May       324.49       311.10       291.34
 2026   Jun       323.09       298.01       281.99
 2026   Jul       300.72       275.20       273.21
 2026   Aug       281.51       266.57       270.34
 2026   Sep       275.75       268.10       270.53
 2026   Oct       286.70       274.36       265.57
 2026   Nov       306.16       274.49       252.36
 2026   Dec       311.76       269.78       243.77
 2027   Jan       300.07       247.70       234.14
 2027   Feb       294.32       244.33       241.18
 2027   Mar       286.74       263.44       260.24
 2027   Apr       302.42       288.93       281.99
 2027   May       323.28       310.53       291.17
 2027   Jun       322.35       297.50       281.66
 2027   Jul       300.01       274.50       272.76
 2027   Aug       280.67       265.79       269.93
 2027   Sep       275.04       267.58       270.26
 2027   Oct       286.35       274.16       265.36
 2027   Nov       306.00       274.29       252.06
 2027   Dec       311.21       269.05       243.28
 2028   Jan       298.63       246.27       233.54
 2028   Feb       291.99       242.53       240.67
 2028   Mar       284.24       261.83       259.93
 2028   Apr       300.42       287.90       281.84
 2028   May       322.04       309.95       291.00
 2028   Jun       321.59       296.97       281.33
 2028   Jul       299.28       273.78       272.31
 2028   Aug       279.82       265.01       269.51
 2028   Sep       274.32       267.05       269.97
 2028   Oct       285.99       273.97       265.15
 2028   Nov       305.83       274.09       251.76
 2028   Dec       310.66       268.31       242.78
 2029   Jan       297.15       244.81       232.93
 2029   Feb       289.60       240.69       240.15
 2029   Mar       281.69       260.20       259.63
 2029   Apr       298.37       286.86       281.69
 2029   May       320.77       309.35       290.83
 2029   Jun       320.82       296.44       280.99
 2029   Jul       298.53       273.04       271.85
 2029   Aug       278.95       264.21       269.08
 2029   Sep       273.58       266.51       269.68
 2029   Oct       285.62       273.76       264.94
 2029   Nov       305.66       273.87       251.45
 2029   Dec       310.10       267.56       242.26
 2030   Jan       295.64       243.32       232.30
 2030   Feb       287.16       238.81       239.61
 2030   Mar       279.09       258.52       259.31
 2030   Apr       296.28       285.79       281.54
 2030   May       319.48       308.75       290.65
 2030   Jun       320.03       295.89       280.65
 2030   Jul       297.77       272.29       271.38
 2030   Aug       278.06       263.39       268.65
 2030   Sep       272.82       265.95       269.39
 2030   Oct       285.24       273.56       264.72
 2030   Nov       305.49       273.66       251.13
 2030   Dec       309.52       266.78       241.74
 2031   Jan       294.10       241.80       231.66
 2031   Feb       284.67       236.89       239.07
 2031   Mar       276.43       256.81       258.99
 2031   Apr       294.14       284.70       281.38
 2031   May       318.16       308.13       290.46
 2031   Jun       319.22       295.33       280.29
 2031   Jul       296.99       271.52       270.89
 2031   Aug       277.16       262.55       268.20
 2031   Sep       272.05       265.39       269.08
 2031   Oct       284.86       273.34       264.49
 2031   Nov       305.31       273.44       250.81
 2031   Dec       308.93       265.99       241.20
 2032   Jan       292.52       240.24       231.00
 2032   Feb       282.13       234.93       238.51
 2032   Mar       273.70       255.06       258.66
 2032   Apr       291.95       283.58       281.22
 2032   May       316.80       307.49       290.28
 2032   Jun       318.40       294.75       279.93
 2032   Jul       296.19       270.74       270.40
 2032   Aug       276.23       261.69       267.74
 2032   Sep       271.26       264.81       268.77
 2032   Oct       284.47       273.13       264.26
 2032   Nov       305.13       273.22       250.47
 2032   Dec       308.32       265.19       240.65
 2033   Jan       290.91       238.64       230.33
 2033   Feb       279.52       232.92       237.93
 2033   Mar       270.92       253.28       258.32
 2033   Apr       289.71       282.44       281.06
 2033   May       315.42       306.84       290.08
 2033   Jun       317.56       294.17       279.56
