*  Baseline Incidence
*                                             ====    ====
   This file contains data for cohorts from:  1890 to 2100
*                                             ====    ====
*  NOTE: The range of years must be entered above.
*
*  FORMAT OF HEADER: consecutive lines: (t1,a8), (t5,i1), (t1,a12), (t1,a3)
BASAL
LAT=1
WH MALE
coh/age 00-04       05-09       10-14       15-19       20-24       25-29       30-34       35-39       40-44       45-49       50-54       55-59       60-64       65-69       70-74       75-79       80-85       85+
2005    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2010    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2015    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2020    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2025    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2030    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2035    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2040    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2045    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2050    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2055    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2060    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2065    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2070    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2075    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2080    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2085    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2090    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2095    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
2100    1.00E-01    1.00E-01    1.00E-01    2.90E+00    2.90E+00    2.21E+01    2.21E+01    9.11E+01    9.11E+01    2.59E+02    2.59E+02    4.66E+02    4.66E+02    7.61E+02    7.61E+02    1.16E+03    1.16E+03    1.31E+03
BASAL
LAT=1
WH FEMALE
coh/age 00-04       05-09       10-14       15-19       20-24       25-29       30-34       35-39       40-44       45-49       50-54       55-59       60-64       65-69       70-74       75-79       80-85       85+
1890    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1895    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1900    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1905    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1910    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1915    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1920    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1925    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1930    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1935    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1940    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1945    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1950    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1955    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
1960    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
